verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΘΥΣΙΑΣΤΙΚΗ	1	ΟΥΣΙΑΣΤΙΚΗ	5	5.0	True	high
one-known	ΚΑΜΝΟΥΣ	1	ΚΑΜΠΟΥΣ	5	5.0	True	high
one-known	ΤΟΝΙΑ	1	ΤΟΠΙΑ	5	5.0	True	high
one-known	ΠΑΙΟΥ	1	ΠΑΓΟΥ	5	5.0	True	high
one-known	ΠΡΟΒΥΜΙΑ	1	ΠΡΟΘΥΜΙΑ	5	5.0	True	high
one-known	ΚΑΣΤΕΡΙ	19	ΚΑΣΤΟΡΙ	90	4.7	True	high
one-known	ΛΑΚΩΝΟΣ	5	ΛΑΚΩΝΕΣ	21	4.2	True	high
one-known	ΕΔΟΠΟΙΙΑ	3	ΟΔΟΠΟΙΙΑ	12	4.0	True	high
one-known	ΔΕΚΑΔΟΣ	2	ΔΕΚΑΔΕΣ	8	4.0	True	high
one-known	ΣΕΛΙΔΟΣ	2	ΣΕΛΙΔΕΣ	8	4.0	True	high
one-known	ΔΟΗΣΗ	2	ΔΕΗΣΗ	8	4.0	True	high
one-known	ΦΩΡΗΣ	2	ΦΩΤΗΣ	8	4.0	True	high
one-known	ΛΣΦΑΛΕΙΕΣ	1	ΑΣΦΑΛΕΙΕΣ	4	4.0	True	high
one-known	ΣΕΧΝΑΜΕ	1	ΞΕΧΝΑΜΕ	4	4.0	True	high
one-known	ΔΑΤΑΝΩΝ	1	ΔΑΠΑΝΩΝ	4	4.0	True	high
one-known	ΣΑΒΡΑ	1	ΣΑΒΒΑ	4	4.0	True	high
one-known	ΑΓΚΑΔΙΑ	1	ΑΓΚΑΛΙΑ	4	4.0	True	high
one-known	ΦΙΛΕΞΕΝΗ	1	ΦΙΛΟΞΕΝΗ	4	4.0	True	high
one-known	ΑΙΟΥΣ	1	ΑΚΟΥΣ	4	4.0	True	high
one-known	ΑΓΡΕΣ	1	ΑΓΙΕΣ	4	4.0	True	high
one-known	ΔΟΜΑΤΑ	1	ΔΕΜΑΤΑ	4	4.0	True	high
one-known	ΣΠΑΡΙΑ	1	ΣΠΑΡΤΑ	4	4.0	True	high
one-known	ΑΚΡΙΘΑ	1	ΑΚΡΙΒΑ	4	4.0	True	high
one-known	ΑΝΑΡΑ	1	ΑΝΔΡΑ	4	4.0	True	high
one-known	ΚΑΝΤΑ	1	ΚΑΥΤΑ	4	4.0	True	high
one-known	ΑΣΤΡΑΤΗ	1	ΑΣΤΡΑΠΗ	4	4.0	True	high
one-known	ΑΛΕΙΡΟΥ	1	ΑΛΕΓΡΟΥ	4	4.0	True	high
one-known	ΚΑΣΤΕΡΙΟΥ	1	ΚΑΣΤΟΡΙΟΥ	4	4.0	True	high
one-known	ΜΟΚΡΑΣ	1	ΜΟΙΡΑΣ	4	4.0	True	high
one-known	ΚΑΡΠΕΣ	1	ΚΑΡΤΕΣ	4	4.0	True	high
one-known	ΛΟΦΤΑ	4	ΛΕΦΤΑ	14	3.5	True	high
one-known	ΔΕΡΝΑ	2	ΔΕΡΜΑ	7	3.5	True	high
one-known	ΓΟΜΑΤΟ	2	ΓΕΜΑΤΟ	7	3.5	True	high
one-known	ΔΕΡΝΑ	2	ΔΕΙΝΑ	7	3.5	True	high
one-known	ΛΑΚΚΑ	2	ΛΑΙΚΑ	7	3.5	True	high
one-known	ΠΕΙΤΑ	3	ΠΕΙΡΑ	10	3.3	True	high
one-known	ΑΦΙΣΕΙΣ	13	ΑΦΙΞΕΙΣ	39	3.0	True	high
one-known	ΡΑΣΙΑ	8	ΤΑΣΙΑ	24	3.0	True	high
